1674247459.7758222,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-53.6
1674247459.7758222,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-87.6
1674247459.7758222,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-61.0
1674247461.6940234,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-71.2
1674247461.6940234,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-89.0
1674247462.8536398,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.2
1674247462.8536398,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-49.6
1674247462.8536398,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-61.6
1674247464.7554805,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-70.0
1674247464.7554805,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-88.5
1674247465.9142694,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-74.6
1674247465.9142694,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.8
1674247465.9142694,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-49.0
1674247467.8198383,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-68.4
1674247467.8198383,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-88.33333333333333
1674247468.9888196,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-74.4
1674247468.9888196,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.6
1674247468.9888196,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-51.0
1674247468.9888196,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-87.4
1674247470.9007401,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-68.0
1674247472.0633242,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-52.2
1674247472.0633242,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-73.8
1674247472.0633242,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.0
1674247473.97162,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-67.4
1674247475.1287026,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.0
1674247475.1287026,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-75.0
1674247475.1287026,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-52.6
1674247475.1287026,58:BF:25:93:7C:88,,0c:b8:15:f3:68:de,-87.6
1674247477.0821033,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-67.4
1674247477.0821033,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-89.0
1674247478.2021155,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-62.6
1674247478.2021155,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-74.2
1674247478.2021155,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-54.4
1674247478.2021155,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-85.8
1674247480.1556768,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-66.0
1674247481.2820017,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-55.2
1674247481.2820017,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-74.8
1674247481.2820017,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-60.8
1674247483.2115138,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-67.6
1674247483.2115138,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-88.4
1674247484.340559,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-75.8
1674247484.340559,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-61.6
1674247484.340559,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-53.4
1674247486.272158,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-67.8
1674247486.272158,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-87.0
1674247487.4406064,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-83.8
1674247487.4406064,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-75.2
1674247487.4406064,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-52.6
1674247487.4406064,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.2
1674247489.3500366,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-69.2
1674247489.3500366,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-87.6
1674247490.4897213,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-74.8
1674247490.4897213,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.2
1674247490.4897213,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-50.0
1674247492.414521,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-68.6
1674247492.414521,0C:B8:15:F3:68:DC,ESP32-Simon-01,58:bf:25:93:7c:8a,-86.8
1674247493.573649,58:BF:25:93:7C:88,,0c:b8:15:f3:68:de,-84.6
1674247493.573649,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.0
1674247493.573649,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-48.8
1674247493.573649,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.4
1674247495.4624224,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-71.4
1674247496.655815,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-86.2
1674247496.655815,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-48.2
1674247496.655815,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.8
1674247496.655815,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.4
1674247498.516718,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-72.6
1674247499.7192876,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.4
1674247499.7192876,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-50.6
1674247499.7192876,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-63.0
1674247499.7192876,58:BF:25:93:7C:88,ESP32-Maxim,0c:b8:15:f3:68:de,-88.6
1674247501.5876958,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-72.8
1674247502.8070962,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.8
1674247502.8070962,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-62.2
1674247502.8070962,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-51.6
1674247504.6581948,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-72.2
1674247505.8567863,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-62.4
1674247505.8567863,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.4
1674247505.8567863,58:BF:25:93:7C:88,Simon's A53,f0:65:ae:2f:c5:d5,-52.8
1674247507.730027,0C:B8:15:F3:68:DC,Simon's A53,f0:65:ae:2f:c5:d5,-73.0
1674247508.9281378,58:BF:25:93:7C:88,[LG] webOS TV OLED65C25LB,20:28:bc:83:18:75,-62.6
1674247508.9281378,58:BF:25:93:7C:88,SHIELD,00:04:4b:84:44:74,-76.2
